condition,symptoms
Benign brain tumour (non-cancerous),"new, persistent headaches, seizures (epileptic fits), feeling sick all the time, being sick, and drowsiness, mental or behavioural changes, such as changes in personality, weakness or paralysis, vision problems, or speech problems"
Benign prostate enlargement,"difficulty starting to pee, a frequent need to pee, difficulty fully emptying your bladder"
Schistosomiasis (bilharzia),"a high temperature (fever), an itchy, red, blotchy and raised rash, a cough, diarrhoea, muscle and joint pain, tummy pain, a general sense of feeling unwell"
Bipolar disorder,"high moods (mania or hypomania) – for example, feeling very happy, excited or energetic, low moods (depression) – for example, feeling sad, tired or hopeless"
Bladder pain syndrome (interstitial cystitis),"intense pelvic pain (felt over your lower tummy), sudden strong urges to pee, needing to pee more often than usual, pain in your lower tummy when your bladder is filling up, which is relieved when you pee, waking up several times during the night to pee"
Bloating,"your tummy feels full or bigger than usual, you have tummy pain or discomfort, your tummy is rumbling or making noises, you're farting more than usual"
Low blood pressure (hypotension),"lightheadedness or dizziness, feeling sick, blurred vision, generally feeling weak, confusion, fainting"
Body dysmorphic disorder (BDD),"worry a lot about a specific area of your body (particularly your face), spend a lot of time comparing your looks with other people's, look at yourself in mirrors a lot or avoid mirrors altogether, go to a lot of effort to conceal flaws – for example, by spending a long time combing your hair, applying make-up or choosing clothes, pick at your skin to make it ""smooth"""
Bone cyst,"pain, swelling or a lump, usually in your arm, leg or spine, numbness or tingling, if the cyst affects your spine, a break (fracture), sometimes from a relatively minor injury"
Botulism,"drooping eyelids, blurred or double vision, facial muscle weakness, difficulty swallowing (dysphagia), slurred speech, breathing difficulties"
Bowel polyps,"a small amount of slime (mucus) or blood in your poo, bleeding from your bottom, a change in your normal bowel habits, such as diarrhoea or constipation, losing weight without trying"
Bowen's disease,"scaly or crusty, flat or raised, up to a few centimetres across, itchy (but not all the time), red or pink on white skin, but this may be harder to see on brown and black skin"
Brain abscess,"headache – which is often severe, located in a single section of the head and cannot be relieved with painkillers, changes in mental state – such as confusion or irritability, problems with nerve function – such as muscle weakness, slurred speech or paralysis on one side of the body, a high temperature, seizures (fits), feeling sick, being sick, stiff neck, changes in vision – such as blurring, greying of vision or double vision (due to the abscess putting pressure on the optic nerve)"
Subarachnoid haemorrhage,"a sudden severe headache unlike anything you’ve experienced before, a stiff neck, feeling and being sick, sensitivity to light (photophobia), blurred or double vision, stroke-like symptoms – such as slurred speech and weakness on one side of the body, loss of consciousness or convulsions (uncontrollable shaking)"
Malignant brain tumour (brain cancer),"headaches (often worse in the morning and when coughing or straining), fits (seizures), regularly feeling sick (vomiting), memory problems or changes in personality, weakness, vision problems or speech problems that get worse"
Brain tumours,"headaches, seizures (fits), persistently feeling sick (nausea), being sick (vomiting) and drowsiness, mental or behavioural changes, such as memory problems or changes in personality, progressive weakness or paralysis on one side of the body, vision or speech problems"
Brain tumours,"headaches that are worse in the morning, seizures (fits), persistently feeling sick (nausea), being sick (vomiting), drowsiness, and difficulty concentrating"
Brain tumours,"frequent and severe headaches, blurred or double vision, weakness or numbness on one side of the body, memory problems, and changes in personality or behaviour"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and progressive weakness in the arms or legs"
Brain tumours,"headaches that don’t improve with medication, confusion, difficulty speaking or understanding speech, vision problems, and feeling very tired all the time"
Brain tumours,"seizures (fits), memory loss, difficulty walking, persistent nausea, vomiting, and sensitivity to light or sound"
Brain tumours,"headaches that worsen over time, blurred vision, difficulty concentrating, drowsiness, and changes in mood or personality"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"seizures (fits), trouble remembering things, difficulty speaking, persistent headaches, and feeling disoriented or confused"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Brain tumours,"frequent nausea, vomiting, severe headaches, difficulty with coordination and balance, and weakness on one side of the body"
Brain tumours,"headaches, blurred or double vision, difficulty walking, nausea, vomiting, and progressive weakness in the arms or legs"
Brain tumours,"persistent nausea, vomiting, dizziness, difficulty balancing, seizures (fits), and changes in personality or behaviour"
Brain tumours,"headaches that are worse in the morning, difficulty concentrating, memory problems, drowsiness, and sensitivity to light"
Brain tumours,"seizures (fits), blurred vision, difficulty speaking, persistent headaches, and feeling very tired all the time"
Bronchitis,"a cough – you may cough up clear, white, yellow or green mucus, chest pain when coughing, shortness of breath, a sore throat, a runny nose, a high temperature"
Bronchitis,"a cough that produces clear or white mucus, chest discomfort, difficulty breathing, a sore throat, and fatigue"
Bronchitis,"a severe cough with green mucus, chest pain, wheezing, a runny nose, and a mild fever"
Bronchitis,"a persistent cough with yellow mucus, shortness of breath, chest tightness, a sore throat, and a high temperature"
Bronchitis,"a cough that brings up green or yellow phlegm, chest pain, difficulty breathing, a runny nose, and fatigue"
Bronchitis,"a dry cough that later produces white or clear mucus, chest discomfort, shortness of breath, and a sore throat"
Bronchitis,"a cough with thick green mucus, chest pain, wheezing, a runny nose, and a mild fever"
Bronchitis,"a persistent cough with yellow or green phlegm, chest tightness, difficulty breathing, and a sore throat"
Bronchitis,"a cough that produces clear mucus, chest pain, shortness of breath, a runny nose, and fatigue"
Bronchitis,"a severe cough with green or yellow mucus, chest discomfort, wheezing, and a high temperature"
Bronchitis,"a persistent cough with white mucus, chest pain, difficulty breathing, a sore throat, and a runny nose"
Bronchitis,"a cough that brings up green phlegm, chest tightness, shortness of breath, and a mild fever"
Bronchitis,"a dry cough that later produces yellow mucus, chest pain, wheezing, and fatigue"
Bronchitis,"a cough with thick yellow mucus, chest discomfort, difficulty breathing, and a sore throat"
Bronchitis,"a persistent cough with green or white mucus, chest pain, shortness of breath, and a runny nose"
Bronchitis,"a cough that produces clear or yellow phlegm, chest tightness, wheezing, and a high temperature"
Bronchitis,"a severe cough with green mucus, chest pain, difficulty breathing, and fatigue"
Bronchitis,"a persistent cough with yellow or clear mucus, chest discomfort, shortness of breath, and a sore throat"
Bronchitis,"a cough that brings up white mucus, chest pain, wheezing, and a runny nose"
Bronchitis,"a dry cough that later produces green phlegm, chest tightness, difficulty breathing, and a mild fever"
Bronchitis,"a cough with thick white mucus, chest pain, shortness of breath, and fatigue"
Bronchitis,"a persistent cough with green or yellow mucus, chest discomfort, wheezing, and a sore throat"
Bronchitis,"a cough that produces clear mucus, chest pain, difficulty breathing, and a runny nose"
Bronchitis,"a severe cough with yellow phlegm, chest tightness, shortness of breath, and a high temperature"
Bronchitis,"a persistent cough with white or green mucus, chest pain, wheezing, and fatigue"
Bronchitis,"a cough that brings up clear or yellow mucus, chest discomfort, difficulty breathing, and a sore throat"
Bronchitis,"a dry cough that later produces white phlegm, chest pain, shortness of breath, and a runny nose"
Bronchitis,"a cough with thick green mucus, chest tightness, wheezing, and a mild fever"
Bronchitis,"a persistent cough with yellow or clear mucus, chest pain, difficulty breathing, and fatigue"
Bronchitis,"a cough that produces green phlegm, chest discomfort, shortness of breath, and a sore throat"
Bronchitis,"a severe cough with white mucus, chest pain, wheezing, and a runny nose"
Bronchitis,"a persistent cough with yellow or green mucus, chest tightness, difficulty breathing, and a high temperature"
Bronchitis,"a cough that brings up clear mucus, chest pain, shortness of breath, and fatigue"
Bronchitis,"a dry cough that later produces yellow phlegm, chest discomfort, wheezing, and a sore throat"
Bronchitis,"a cough with thick white mucus, chest pain, difficulty breathing, and a runny nose"
Bronchitis,"a persistent cough with green or yellow mucus, chest tightness, shortness of breath, and a mild fever"
Bronchitis,"a cough that produces clear or white phlegm, chest pain, wheezing, and fatigue"
Bronchitis,"a severe cough with green mucus, chest discomfort, difficulty breathing, and a sore throat"
Bronchitis,"a persistent cough with yellow or clear mucus, chest pain, shortness of breath, and a runny nose"
Bronchitis,"a cough that brings up white phlegm, chest tightness, wheezing, and a high temperature"
Bronchitis,"a dry cough that later produces green mucus, chest pain, difficulty breathing, and fatigue"
Bronchitis,"a cough with thick yellow mucus, chest discomfort, shortness of breath, and a sore throat"
Bronchitis,"a persistent cough with green or white mucus, chest pain, wheezing, and a runny nose"
Bronchitis,"a cough that produces clear or yellow phlegm, chest tightness, difficulty breathing, and a mild fever"
Bronchitis,"a severe cough with white mucus, chest pain, shortness of breath, and fatigue"
Bronchitis,"a persistent cough with yellow or green mucus, chest discomfort, wheezing, and a sore throat"
Bronchitis,"a cough that brings up clear mucus, chest pain, difficulty breathing, and a runny nose"
Bronchitis,"a dry cough that later produces white phlegm, chest tightness, shortness of breath, and a high temperature"
Bronchitis,"a cough with thick green mucus, chest pain, wheezing, and fatigue"
Bronchitis,"a persistent cough with yellow or clear mucus, chest discomfort, difficulty breathing, and a sore throat"
Bronchitis,"a cough that produces green phlegm, chest pain, shortness of breath, and a runny nose"
Bronchitis,"a severe cough with white mucus, chest tightness, wheezing, and a mild fever"
Bronchitis,"a persistent cough with yellow or green mucus, chest pain, difficulty breathing, and fatigue"
Bronchitis,"a cough that brings up clear or yellow mucus, chest discomfort, shortness of breath, and a sore throat"
Bronchitis,"a dry cough that later produces green phlegm, chest pain, wheezing, and a runny nose"
Bronchitis,"a cough with thick white mucus, chest tightness, difficulty breathing, and a high temperature"
Bronchitis,"a persistent cough with yellow or clear mucus, chest pain, shortness of breath, and fatigue"
Bronchitis,"a cough that produces green or white phlegm, chest discomfort, wheezing, and a sore throat"
Bronchitis,"a severe cough with yellow mucus, chest pain, difficulty breathing, and a runny nose"
Bronchitis,"a persistent cough with green or yellow mucus, chest tightness, shortness of breath, and a mild fever"
Bronchitis,"a cough that brings up clear mucus, chest pain, wheezing, and fatigue"
Bronchitis,"a dry cough that later produces white phlegm, chest discomfort, difficulty breathing, and a sore throat"
Bronchitis,"a cough with thick green mucus, chest pain, shortness of breath, and a runny nose"
Bronchitis,"a persistent cough with yellow or green mucus, chest tightness, wheezing, and a high temperature"
Brucellosis,"a high temperature, loss of appetite, sweating, headaches, extreme tiredness, back and joint pain"
Brugada syndrome,"fainting or blackouts, feeling dizzy or lightheaded, heart palpitations, seizures or fits, shortness of breath"
Teeth grinding (bruxism),"face, neck and shoulder pain, a painful jaw, which can lead to a condition called temporomandibular disorder (TMD), worn-down or broken teeth, which can cause increased sensitivity and loss of teeth and fillings, headaches, earache, disturbed sleep"
Bulimia,"losing control of how much you're eating over a very short time (binge eating), ridding your body of the extra food (purging)"
Cavernoma,"bleeding (haemorrhage), fits (seizures), headaches, neurological problems, such as dizziness, slurred speech (dysarthria), double vision, balance problems and tremor, weakness, numbness, tiredness, memory problems and difficulty concentrating, a type of stroke called a haemorrhagic stroke"
Cerebral palsy,"delays in reaching development milestones – for example, not sitting by 8 months or not walking by 18 months, seeming too stiff or too floppy, weak arms or legs, fidgety, jerky or clumsy movements, random, uncontrolled movements, walking on tiptoes, a range of other problems – such as swallowing problems, speaking problems, vision problems and learning disabilities"
Cerebral palsy,"delays in reaching development milestones – not sitting by 8 months, not walking by 18 months, seeming too stiff or too floppy, weak arms or legs, fidgety or jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
Cerebral palsy,"delayed motor skills, stiffness in limbs, weak muscles, uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones on time, floppy or stiff muscles, weak arms or legs, jerky or clumsy movements, walking on tiptoes, and issues with vision or hearing"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, uncontrolled movements, difficulty swallowing, speech delays, and learning challenges"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak arms or legs, fidgety movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delayed development milestones, muscle stiffness or weakness, jerky or uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and vision issues"
Cerebral palsy,"not reaching motor milestones on time, stiff or floppy limbs, weak muscles, random or jerky movements, walking on tiptoes, and learning or speech difficulties"
Cerebral palsy,"delays in sitting or walking, muscle stiffness or floppiness, weak arms or legs, uncontrolled movements, difficulty swallowing, speech delays, and vision problems"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak limbs, fidgety movements, walking on tiptoes, and issues with swallowing or speaking"
Cerebral palsy,"delayed motor development, muscle stiffness or weakness, jerky or clumsy movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones, stiff or floppy muscles, weak arms or legs, uncontrolled movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak arms or legs, fidgety movements, walking on tiptoes, and speech or learning challenges"
Cerebral palsy,"delayed motor skills, muscle stiffness or weakness, jerky or uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and vision issues"
Cerebral palsy,"not reaching developmental milestones on time, stiff or floppy limbs, weak muscles, random or jerky movements, walking on tiptoes, and learning or speech difficulties"
Cerebral palsy,"delays in sitting or walking, muscle stiffness or floppiness, weak arms or legs, uncontrolled movements, difficulty swallowing, speech delays, and vision problems"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak limbs, fidgety movements, walking on tiptoes, and issues with swallowing or speaking"
Cerebral palsy,"delayed motor development, muscle stiffness or weakness, jerky or clumsy movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones, stiff or floppy muscles, weak arms or legs, uncontrolled movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak arms or legs, fidgety movements, walking on tiptoes, and speech or learning challenges"
Cerebral palsy,"delayed motor skills, muscle stiffness or weakness, jerky or uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and vision issues"
Cerebral palsy,"not reaching developmental milestones on time, stiff or floppy limbs, weak muscles, random or jerky movements, walking on tiptoes, and learning or speech difficulties"
Cerebral palsy,"delays in sitting or walking, muscle stiffness or floppiness, weak arms or legs, uncontrolled movements, difficulty swallowing, speech delays, and vision problems"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak limbs, fidgety movements, walking on tiptoes, and issues with swallowing or speaking"
Cerebral palsy,"delayed motor development, muscle stiffness or weakness, jerky or clumsy movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones, stiff or floppy muscles, weak arms or legs, uncontrolled movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak arms or legs, fidgety movements, walking on tiptoes, and speech or learning challenges"
Cerebral palsy,"delayed motor skills, muscle stiffness or weakness, jerky or uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and vision issues"
Cerebral palsy,"not reaching developmental milestones on time, stiff or floppy limbs, weak muscles, random or jerky movements, walking on tiptoes, and learning or speech difficulties"
Cerebral palsy,"delays in sitting or walking, muscle stiffness or floppiness, weak arms or legs, uncontrolled movements, difficulty swallowing, speech delays, and vision problems"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak limbs, fidgety movements, walking on tiptoes, and issues with swallowing or speaking"
Cerebral palsy,"delayed motor development, muscle stiffness or weakness, jerky or clumsy movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones, stiff or floppy muscles, weak arms or legs, uncontrolled movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak arms or legs, fidgety movements, walking on tiptoes, and speech or learning challenges"
Cerebral palsy,"delayed motor skills, muscle stiffness or weakness, jerky or uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and vision issues"
Cerebral palsy,"not reaching developmental milestones on time, stiff or floppy limbs, weak muscles, random or jerky movements, walking on tiptoes, and learning or speech difficulties"
Cerebral palsy,"delays in sitting or walking, muscle stiffness or floppiness, weak arms or legs, uncontrolled movements, difficulty swallowing, speech delays, and vision problems"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak limbs, fidgety movements, walking on tiptoes, and issues with swallowing or speaking"
Cerebral palsy,"delayed motor development, muscle stiffness or weakness, jerky or clumsy movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones, stiff or floppy muscles, weak arms or legs, uncontrolled movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak arms or legs, fidgety movements, walking on tiptoes, and speech or learning challenges"
Cerebral palsy,"delayed motor skills, muscle stiffness or weakness, jerky or uncontrolled movements, walking on tiptoes, difficulty swallowing, speech problems, and vision issues"
Cerebral palsy,"not reaching developmental milestones on time, stiff or floppy limbs, weak muscles, random or jerky movements, walking on tiptoes, and learning or speech difficulties"
Cerebral palsy,"delays in sitting or walking, muscle stiffness or floppiness, weak arms or legs, uncontrolled movements, difficulty swallowing, speech delays, and vision problems"
Cerebral palsy,"not sitting by 8 months, not walking by 18 months, stiff or floppy muscles, weak limbs, fidgety movements, walking on tiptoes, and issues with swallowing or speaking"
Cerebral palsy,"delayed motor development, muscle stiffness or weakness, jerky or clumsy movements, walking on tiptoes, difficulty swallowing, speech problems, and learning disabilities"
Cerebral palsy,"not reaching developmental milestones, stiff or floppy muscles, weak arms or legs, uncontrolled movements, walking on tiptoes, and problems with swallowing or speaking"
Cerebral palsy,"delays in sitting, crawling, or walking, muscle stiffness or floppiness, weak limbs, jerky movements, walking on tiptoes, and difficulty swallowing or speaking"
